CommentID,UserID,Comment,Number_of_Likes,Number_of_Replies,Updated_At
UgwqAS3NKpI1muStHnR4AaABAg,@lexieandellsa,we NEED a ten min version! 💜💜💜,0,0,2023-11-29T20:52:41Z
UgwvG_f8NVXDVQ6BtSt4AaABAg,@grantsmithofficial,Love it,1,0,2023-11-29T20:05:42Z
Ugy2BYsvCiMm8hxqSeV4AaABAg,@mockingpoop4889,EXTREME GLAZING,0,0,2023-11-29T19:17:29Z
UgzDiLUoLmrE0KcqiIp4AaABAg,@gabrielabermudez7908,"1989 Taylor, Swift",0,0,2023-11-29T18:09:03Z
UgzoJhasJYTBEkSyL0N4AaABAg,@shoshishoshi127,"This definitely sounds like an 1989 track. If this was released back then, this could&#39;ve been my fave! I can&#39;t believe this song didn&#39;t make it.",2,0,2023-11-29T18:08:17Z
UgydyT6l5P3ur0oUVNZ4AaABAg,@suiiiiiiiiiiiiiiii.,Garbage mid tier white Queen 👑👑😂,1,0,2023-11-29T15:24:46Z
Ugy-iKSw8ZEMkW5_Oa94AaABAg,@Antonix932,Kanye besser,0,0,2023-11-29T15:22:54Z
Ugzr8ZfZpbrwtcLpODh4AaABAg,@dorothyhodder955,💜💜💜💜👑,1,0,2023-11-29T14:05:04Z
UgwySsFH4A39x8ZHX5R4AaABAg,@lindseywagner333,OMG SLAY QUEEN,2,0,2023-11-29T13:58:47Z
UgzSmzvmm0txMhKujMt4AaABAg,@unicorngeorgia,This is so awesome,1,0,2023-11-29T13:37:33Z
Ugwd306uiXRUn7yNyp94AaABAg,@unicorngeorgia,This is so amazing,1,0,2023-11-29T13:37:10Z
UgzqGUxEootQ7mWaBvF4AaABAg,@iaintsorry4394,Taylor s version is brilliant,1,0,2023-11-29T12:36:20Z
Ugz-nwN4gn5LwIqWgVZ4AaABAg,@Sara_dear,morw than one month later i&#39;ve come to listen to this song for the first time and still not mentally prepared,1,0,2023-11-29T09:46:25Z
Ugx1n88GiuVeySBCe314AaABAg,@jorditorro6273,Another Taylor classic for us to collect ❤,2,0,2023-11-29T08:58:51Z
UgwpnUWNdM1QGQT3o1p4AaABAg,@user-fo7lh4zb8w,I LOVE YOU,0,0,2023-11-29T06:06:19Z
UgzMOwEgE_J8_KvlOuV4AaABAg,@gunnernana,💗💗,0,0,2023-11-29T05:31:19Z
UgzQqFM_l9xgd-HE3p54AaABAg,@stephaniesanchez9361,no te puedo creer q escuché esto en vivo diosmío,1,0,2023-11-29T04:12:57Z
Ugx3AscZkdKjT8sCjvt4AaABAg,@caracarne2020,"Before hearing 1989 I just considered liking few taylor songs, but after hearing all 1989 I think im a swiftie",0,0,2023-11-29T04:10:57Z
Ugwel4RmvyJD0iPBqXl4AaABAg,@i_CARLYYYYY,"Don’t know why I’ve never listened to this, but somehow I know like… most of the words 🤔 can someone explain this? Lmao",2,0,2023-11-29T03:05:31Z
Ugzv3Yx0QZX5MVBxRJt4AaABAg,@user-hm8en7xe1d,the voice is great,1,0,2023-11-29T01:52:58Z
Ugzm6_ebF5_vzFt0ejZ4AaABAg,@rickyogima,Why is this song starting to grab a hold of me lately?,1,0,2023-11-29T00:26:08Z
UgxxTbMVu2KmwAY02Ed4AaABAg,@JamesSmith-ij3jb,The vault tracks are so boring. Only 1 basic one which is neither here nor there,0,0,2023-11-29T00:18:37Z
Ugwo76PaNLbb3duR5uV4AaABAg,@deborahdickson3345,Take a look at trevor Jackson,0,0,2023-11-28T19:53:11Z
Ugx_daBJePFA1Lkrhvh4AaABAg,@deborahdickson3345,Taylor Swift,0,0,2023-11-28T19:52:58Z
UgwbyRC2ezm8gentBnp4AaABAg,@deborahdickson3345,This,0,0,2023-11-28T19:52:49Z
UgyxrURYFaQJk70QXPR4AaABAg,@deborahdickson3345,This,0,0,2023-11-28T19:51:18Z
Ugzsi1Da_RAvROlqAIl4AaABAg,@chipmunk431,I hate this artist.,0,1,2023-11-28T18:47:32Z
Ugxgv6395dJgvLOxEaN4AaABAg,@novemberxswiftie,and is it over now REMEMBER WHEN YOU HIT THE BRAKES TOO SOON 20 STITCHES IN A HOSPITAL ROOM,2,0,2023-11-28T18:41:53Z
UgyK_lV1Yqc4JFzZ5id4AaABAg,@novemberxswiftie,all these vault tracks are superior! especially say don’t go! like she rlly did keep say don’t go away from us for almost 10 years! like how tho it’s legit a masterpiece,0,0,2023-11-28T18:36:09Z
UgwjwVH7qFy8312IDNN4AaABAg,@user-io3dk2uj8v,This song NEEDS a mv asap,1,0,2023-11-28T17:53:23Z
