text,start,duration
we're going to dive straight into our,4.48,3.12
main story tonight which concerns the,5.96,3.32
elections happening around the country,7.6,4.32
in two days there is the usual barrage,9.28,4.479
of negative campaign ads happening right,11.92,3.679
now perhaps none more memorable than,13.759,4.52
this one in a Pennsylvania da race,15.599,4.52
you've seen those motivational signs,18.279,4.0
people have in their offices Matt,20.119,4.601
Dugan's office had a sign too as,22.279,5.84
reported by a KDKA announcer it,24.72,6.92
reads the police,28.119,7.401
wow that is a striking ad now Dugan has,31.64,5.52
pushed back on that saying that's not,35.52,3.32
actually his office it belonged to a,37.16,4.04
different attorney but if so I now want,38.84,4.879
to know everything about them instead,41.2,3.96
because they have to be the only person,43.719,3.281
in the world who has a the police,45.16,3.719
sign next to a Bubblehead of what,47.0,4.719
appears to be James Madison not just,48.879,5.2
that that is next to a statue of Audrey,51.719,4.36
2 from Little Shop of Horrors which in,54.079,4.28
turn is next to a Bubblehead of Teddy,56.079,5.241
Roosevelt those are not usually shared,58.359,5.52
interests that fascinating individual,61.32,3.799
contains,63.879,3.481
multitudes but while some local races,65.119,4.481
are understandably focused on live laugh,67.36,4.88
 the police office signage many,69.6,4.32
others will be focused on Reproductive,72.24,4.199
Rights abortion is a huge issue in the,73.92,4.76
Kentucky Governor's race and the race to,76.439,4.241
control Virginia State Senate and in,78.68,3.96
Ohio there's an amendment on the ballot,80.68,4.36
to enshrine the right to abortion in the,82.64,5.2
state constitution so tonight let's talk,85.04,5.68
about abortion as you know 16 months ago,87.84,4.36
the Supreme Court's dobs decision,90.72,3.96
overturned Ro v Wade and since then it,92.2,4.32
may have been tempting especially if you,94.68,3.64
live in a state unimpacted by the dobs,96.52,4.12
ruling to avoid watching The Fallout,98.32,4.2
from it too closely knowing how,100.64,3.36
depressing it would be and I'll be,102.52,4.04
honest things are Bleak but it's,104.0,4.52
important to understand exactly how,106.56,4.919
Bleak currently 14 states have enacted,108.52,5.68
near total abortion banss and two have,111.479,5.081
imposed six week limits and those banss,114.2,4.08
have prompted many to desperately try to,116.56,3.96
maintain abortion access for those who,118.28,4.32
need it and sometimes in truly,120.52,4.879
imaginative ways a California doctor is,122.6,5.799
proposing a floating abortion clinic as,125.399,5.241
a way to bypass laws in some states that,128.399,4.56
are restricting the procedure she says,130.64,4.0
the clinic would operate on a boat,132.959,3.601
floating in federal waterers just off,134.64,4.44
the Gulf of Mexico so technically making,136.56,5.64
it Out Of Reach to any state laws here,139.08,6.519
wow Lawless territory no rules anything,142.2,5.88
goes it's not only a foolproof plan it's,145.599,4.401
also the literal premise for the movie,148.08,4.6
money plane no you didn't hallucinate,150.0,4.64
that during Peak coid there really was a,152.68,3.96
film about a casino in the sky full of,154.64,3.599
Thieves cartels and arms dealers who can,156.64,3.0
never be arrested because the money,158.239,3.0
plane is always moving in international,159.64,3.879
airspace if you haven't seen it you,161.239,4.041
should frankly stop watching this show,163.519,4.401
right now and go watch that instead if,165.28,5.28
you pop an edible immediately it should,167.92,4.48
start to kick in right around when you,170.56,4.039
meet the film's villain Darius Emanuel,172.4,5.68
Grouch III AKA The Rumble played by,174.599,5.56
Kelsey gramar and he explains the money,178.08,4.36
plane like this whatever you want to,180.159,4.401
wager on the money plane has you covered,182.44,3.879
you want to bet on a dude an,184.56,7.56
alligator money plane yes yes,186.319,8.241
that movie is real it is the Frasier,192.12,4.119
reboot that we,194.56,4.88
deserved anyway back to abortion the,196.239,5.481
dobs decision caused immediate confusion,199.44,4.28
and panic especially in States that had,201.72,3.879
