Index,SongName,AlbumName
0,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Black Panther: Wakanda Forever - Music From and Inspired By
1,Love & Loyalty (Believe),Black Panther: Wakanda Forever - Music From and Inspired By
2,Alone,Black Panther: Wakanda Forever - Music From and Inspired By
3,No Woman No Cry,Black Panther: Wakanda Forever - Music From and Inspired By
4,Árboles Bajo El Mar,Black Panther: Wakanda Forever - Music From and Inspired By
5,Con La Brisa,Black Panther: Wakanda Forever - Music From and Inspired By
6,La Vida,Black Panther: Wakanda Forever - Music From and Inspired By
7,Interlude,Black Panther: Wakanda Forever - Music From and Inspired By
8,Coming Back For You,Black Panther: Wakanda Forever - Music From and Inspired By
9,"They Want It, But No",Black Panther: Wakanda Forever - Music From and Inspired By
10,Laayli' kuxa'ano'one,Black Panther: Wakanda Forever - Music From and Inspired By
11,Limoncello,Black Panther: Wakanda Forever - Music From and Inspired By
12,Anya Mmiri,Black Panther: Wakanda Forever - Music From and Inspired By
13,Wake Up,Black Panther: Wakanda Forever - Music From and Inspired By
14,Pantera,Black Panther: Wakanda Forever - Music From and Inspired By
15,Jele,Black Panther: Wakanda Forever - Music From and Inspired By
16,Inframundo,Black Panther: Wakanda Forever - Music From and Inspired By
17,No Digas Mi Nombre,Black Panther: Wakanda Forever - Music From and Inspired By
18,Mi Pueblo,Black Panther: Wakanda Forever - Music From and Inspired By
19,Born Again,Black Panther: Wakanda Forever - Music From and Inspired By
20,Consideration,ANTI (Deluxe)
21,James Joint,ANTI (Deluxe)
22,Kiss It Better,ANTI (Deluxe)
23,Work,ANTI (Deluxe)
24,Desperado,ANTI (Deluxe)
25,Woo,ANTI (Deluxe)
26,Needed Me,ANTI (Deluxe)
27,"Yeah, I Said It",ANTI (Deluxe)
28,Same Ol’ Mistakes,ANTI (Deluxe)
29,Never Ending,ANTI (Deluxe)
30,Love On The Brain,ANTI (Deluxe)
31,Higher,ANTI (Deluxe)
32,Close To You,ANTI (Deluxe)
33,Goodnight Gotham,ANTI (Deluxe)
34,Pose,ANTI (Deluxe)
35,Sex With Me,ANTI (Deluxe)
36,Consideration,ANTI
37,James Joint,ANTI
38,Kiss It Better,ANTI
39,Work,ANTI
40,Desperado,ANTI
41,Woo,ANTI
42,Needed Me,ANTI
43,"Yeah, I Said It",ANTI
44,Same Ol’ Mistakes,ANTI
45,Never Ending,ANTI
46,Love On The Brain,ANTI
47,Higher,ANTI
48,Close To You,ANTI
49,Phresh Out The Runway,Unapologetic (Deluxe)
50,Diamonds,Unapologetic (Deluxe)
51,Numb,Unapologetic (Deluxe)
52,Pour It Up,Unapologetic (Deluxe)
53,Loveeeeeee Song,Unapologetic (Deluxe)
54,Jump,Unapologetic (Deluxe)
55,Right Now,Unapologetic (Deluxe)
56,What Now,Unapologetic (Deluxe)
57,Stay,Unapologetic (Deluxe)
58,Nobody's Business,Unapologetic (Deluxe)
59,Love Without Tragedy / Mother Mary,Unapologetic (Deluxe)
60,Get It Over With,Unapologetic (Deluxe)
61,No Love Allowed,Unapologetic (Deluxe)
62,Lost In Paradise,Unapologetic (Deluxe)
63,Half Of Me,Unapologetic (Deluxe)
64,Diamonds - Dave Aude 100 Extended,Unapologetic (Deluxe)
65,Diamonds - Gregor Salto Downtempo Remix,Unapologetic (Deluxe)
66,Phresh Out The Runway,Unapologetic
67,Diamonds,Unapologetic
68,Numb,Unapologetic
69,Pour It Up,Unapologetic
70,Loveeeeeee Song,Unapologetic
71,Jump,Unapologetic
72,Right Now,Unapologetic
73,What Now,Unapologetic
74,Stay,Unapologetic
75,Nobody's Business,Unapologetic
76,Love Without Tragedy / Mother Mary,Unapologetic
77,Get It Over With,Unapologetic
78,No Love Allowed,Unapologetic
79,Lost In Paradise,Unapologetic
80,You Da One,Talk That Talk (Deluxe)
81,Where Have You Been,Talk That Talk (Deluxe)
82,We Found Love,Talk That Talk (Deluxe)
83,Talk That Talk,Talk That Talk (Deluxe)
84,Cockiness (Love It),Talk That Talk (Deluxe)
85,Birthday Cake,Talk That Talk (Deluxe)
86,We All Want Love,Talk That Talk (Deluxe)
87,Drunk On Love,Talk That Talk (Deluxe)
88,Roc Me Out,Talk That Talk (Deluxe)
89,Watch n' Learn,Talk That Talk (Deluxe)
90,Farewell,Talk That Talk (Deluxe)
91,Red Lipstick,Talk That Talk (Deluxe)
92,Do Ya Thang,Talk That Talk (Deluxe)
93,Fool In Love,Talk That Talk (Deluxe)
94,You Da One,Talk That Talk
95,Where Have You Been,Talk That Talk
96,We Found Love,Talk That Talk
97,Talk That Talk,Talk That Talk
98,Cockiness (Love It),Talk That Talk
99,Birthday Cake,Talk That Talk
100,We All Want Love,Talk That Talk
101,Drunk On Love,Talk That Talk
102,Roc Me Out,Talk That Talk
103,Watch n' Learn,Talk That Talk
104,Farewell,Talk That Talk
105,S&M,Loud
106,What's My Name?,Loud
107,Cheers (Drink To That),Loud
108,Fading,Loud
109,Only Girl (In The World),Loud
110,California King Bed,Loud
111,Man Down,Loud
112,Raining Men,Loud
113,Complicated,Loud
114,Skin,Loud
115,Love The Way You Lie (Part II) - Pt. 2,Loud
116,Mad House - Chew Fu Straight Jacket Fix,Rated R: Remixed
117,Russian Roulette - Chew Fu Black Russian Fix,Rated R: Remixed
118,ROCKSTAR 101 - Chew Fu Teachers Pet Fix,Rated R: Remixed
119,Wait Your Turn - Chew Fu Can't Wait No More Fix,Rated R: Remixed
120,Photographs - Chew Fu 35mm Fix,Rated R: Remixed
121,Rude Boy - Chew Fu Vitamin S Fix,Rated R: Remixed
122,Hard - Chew Fu Granite Fix,Rated R: Remixed
123,G4L - Chew Fu Guns In The Air Fix,Rated R: Remixed
124,Fire Bomb - Chew Fu Molotov Fix,Rated R: Remixed
125,Stupid In Love - Chew Fu Small Room Fix,Rated R: Remixed
126,S&M,Loud (Japan Version)
127,What's My Name?,Loud (Japan Version)
128,Cheers (Drink To That),Loud (Japan Version)
129,Fading,Loud (Japan Version)
130,Only Girl (In The World),Loud (Japan Version)
131,California King Bed,Loud (Japan Version)
132,Man Down,Loud (Japan Version)
133,Raining Men,Loud (Japan Version)
134,Complicated,Loud (Japan Version)
135,Skin,Loud (Japan Version)
136,Love The Way You Lie (Part II) - Pt. 2,Loud (Japan Version)
137,Only Girl (In The World) - The Bimbo Jones Radio,Loud (Japan Version)
138,Only Girl (In The World) - CCW Radio Mix,Loud (Japan Version)
139,Mad House,Rated R
140,Wait Your Turn,Rated R
141,Hard,Rated R
142,Stupid In Love,Rated R
143,ROCKSTAR 101,Rated R
144,Russian Roulette,Rated R
145,Fire Bomb,Rated R
146,Rude Boy,Rated R
147,Photographs,Rated R
148,G4L,Rated R
149,Te Amo,Rated R
150,Cold Case Love,Rated R
151,The Last Song,Rated R
152,Umbrella - Seamus Haji & Paul Emanuel,Good Girl Gone Bad: The Remixes
153,Disturbia - Jody den Broeder,Good Girl Gone Bad: The Remixes
154,Shut Up And Drive - The Wideboys,Good Girl Gone Bad: The Remixes
155,Don't Stop The Music - Jody den Broeder,Good Girl Gone Bad: The Remixes
156,Take A Bow - Tony Moran & Warren Riggs,Good Girl Gone Bad: The Remixes
157,Breakin' Dishes - Soul Seekerz,Good Girl Gone Bad: The Remixes
158,Hate That I Love You - K-Klassic,Good Girl Gone Bad: The Remixes
159,Question Existing - The Wideboys,Good Girl Gone Bad: The Remixes
160,Push Up On Me - Moto Blanco,Good Girl Gone Bad: The Remixes
161,Good Girl Gone Bad - Soul Seekerz,Good Girl Gone Bad: The Remixes
162,Say It - Soul Seekerz,Good Girl Gone Bad: The Remixes
163,Umbrella - Lindbergh Palace,Good Girl Gone Bad: The Remixes
164,Umbrella,Good Girl Gone Bad: Reloaded
165,Push Up On Me,Good Girl Gone Bad: Reloaded
166,Don't Stop The Music,Good Girl Gone Bad: Reloaded
167,Breakin' Dishes,Good Girl Gone Bad: Reloaded
168,Shut Up And Drive,Good Girl Gone Bad: Reloaded
169,Hate That I Love You,Good Girl Gone Bad: Reloaded
170,Say It,Good Girl Gone Bad: Reloaded
171,Sell Me Candy,Good Girl Gone Bad: Reloaded
172,Lemme Get That,Good Girl Gone Bad: Reloaded
173,Rehab,Good Girl Gone Bad: Reloaded
174,Question Existing,Good Girl Gone Bad: Reloaded
175,Good Girl Gone Bad,Good Girl Gone Bad: Reloaded
176,Disturbia,Good Girl Gone Bad: Reloaded
177,Take A Bow,Good Girl Gone Bad: Reloaded
178,If I Never See Your Face Again,Good Girl Gone Bad: Reloaded
179,Umbrella,Good Girl Gone Bad
180,Push Up On Me,Good Girl Gone Bad
181,Don't Stop The Music,Good Girl Gone Bad
182,Breakin' Dishes,Good Girl Gone Bad
183,Shut Up And Drive,Good Girl Gone Bad
184,Hate That I Love You,Good Girl Gone Bad
185,Say It,Good Girl Gone Bad
186,Sell Me Candy,Good Girl Gone Bad
187,Lemme Get That,Good Girl Gone Bad
188,Rehab,Good Girl Gone Bad
189,Question Existing,Good Girl Gone Bad
190,Good Girl Gone Bad,Good Girl Gone Bad
191,SOS,A Girl Like Me
192,Kisses Don't Lie,A Girl Like Me
193,Unfaithful,A Girl Like Me
194,We Ride,A Girl Like Me
195,Dem Haters,A Girl Like Me
196,Final Goodbye,A Girl Like Me
197,Break It Off,A Girl Like Me
198,Crazy Little Thing Called Love,A Girl Like Me
199,Selfish Girl,A Girl Like Me
200,P.S. (I'm Still Not Over You),A Girl Like Me
201,A Girl Like Me,A Girl Like Me
202,A Million Miles Away,A Girl Like Me
203,If It's Lovin' That You Want - Pt. 2,A Girl Like Me
204,Pon de Replay,Music Of The Sun
205,Here I Go Again,Music Of The Sun
206,If It's Lovin' That You Want,Music Of The Sun
207,"You Don't Love Me (No, No, No)",Music Of The Sun
208,"That La, La, La",Music Of The Sun
209,The Last Time,Music Of The Sun
210,Willing To Wait,Music Of The Sun
211,Music Of The Sun,Music Of The Sun
212,Let Me,Music Of The Sun
213,Rush,Music Of The Sun
214,There's A Thug In My Life,Music Of The Sun
215,Now I Know,Music Of The Sun
216,Pon De Replay - Remix,Music Of The Sun
