Index,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Black Panther: Wakanda Forever - Music From and Inspired By,1,6sCvvleqKbeyOkQDieBYgp,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,spotify:track:6sCvvleqKbeyOkQDieBYgp,0.899,0.247,0.299,0.0,0.131,-6.083,0.0315,177.115,0.172,71
1,Black Panther: Wakanda Forever - Music From and Inspired By,2,6KsDoI8iySmXQ6UaSPuAx4,Love & Loyalty (Believe),spotify:track:6KsDoI8iySmXQ6UaSPuAx4,0.233,0.816,0.726,0.00183,0.0669,-9.874,0.0688,111.99,0.596,52
2,Black Panther: Wakanda Forever - Music From and Inspired By,3,0AoBY2Y3qs6dtGgOD6c91N,Alone,spotify:track:0AoBY2Y3qs6dtGgOD6c91N,0.176,0.6,0.659,0.0,0.111,-7.264,0.0542,89.955,0.307,75
3,Black Panther: Wakanda Forever - Music From and Inspired By,4,2yrtWT6W4KUMbfNtBcH8iN,No Woman No Cry,spotify:track:2yrtWT6W4KUMbfNtBcH8iN,0.506,0.434,0.252,0.00101,0.103,-9.082,0.0305,147.268,0.138,57
4,Black Panther: Wakanda Forever - Music From and Inspired By,5,5UaiWpx39E60GAsoAtICoV,Árboles Bajo El Mar,spotify:track:5UaiWpx39E60GAsoAtICoV,0.783,0.678,0.385,0.00112,0.0982,-8.343,0.0389,92.161,0.0577,47
5,Black Panther: Wakanda Forever - Music From and Inspired By,6,2LSsSV7V33wM9EKQA2xjGS,Con La Brisa,spotify:track:2LSsSV7V33wM9EKQA2xjGS,0.47,0.608,0.429,0.245,0.129,-10.336,0.0316,113.818,0.242,70
6,Black Panther: Wakanda Forever - Music From and Inspired By,7,7rIMBY4ANvxLDJS1m1TzmH,La Vida,spotify:track:7rIMBY4ANvxLDJS1m1TzmH,0.219,0.754,0.869,0.0,0.105,-5.106,0.124,94.972,0.278,50
7,Black Panther: Wakanda Forever - Music From and Inspired By,8,2IWpTwTSmuVB6WjeuKN8Cl,Interlude,spotify:track:2IWpTwTSmuVB6WjeuKN8Cl,0.389,0.519,0.536,1.12e-05,0.109,-6.797,0.124,92.642,0.0385,54
8,Black Panther: Wakanda Forever - Music From and Inspired By,9,5o77o7nTrQL1mWAyrvVMNI,Coming Back For You,spotify:track:5o77o7nTrQL1mWAyrvVMNI,0.00814,0.42,0.436,0.0,0.128,-8.025,0.0449,100.274,0.242,61
9,Black Panther: Wakanda Forever - Music From and Inspired By,10,1rHGit66Qhs5JL3FjaNYsW,"They Want It, But No",spotify:track:1rHGit66Qhs5JL3FjaNYsW,0.00783,0.6,0.931,0.00149,0.115,-6.864,0.0973,134.868,0.304,52
10,Black Panther: Wakanda Forever - Music From and Inspired By,11,02dF3qjpgTpmPCBKo72C06,Laayli' kuxa'ano'one,spotify:track:02dF3qjpgTpmPCBKo72C06,0.573,0.787,0.598,2.29e-06,0.103,-7.457,0.212,150.027,0.82,46
11,Black Panther: Wakanda Forever - Music From and Inspired By,12,1yIJZPDmD1HwxR6SJYYQWA,Limoncello,spotify:track:1yIJZPDmD1HwxR6SJYYQWA,0.0336,0.834,0.591,0.0,0.11,-7.466,0.273,99.991,0.215,47
12,Black Panther: Wakanda Forever - Music From and Inspired By,13,4m8YqoUZLToSUjpNmb7m5X,Anya Mmiri,spotify:track:4m8YqoUZLToSUjpNmb7m5X,0.158,0.78,0.388,0.115,0.111,-9.357,0.0385,126.088,0.372,54
13,Black Panther: Wakanda Forever - Music From and Inspired By,14,11eM29CRUKqdlb6zHe13pP,Wake Up,spotify:track:11eM29CRUKqdlb6zHe13pP,0.174,0.828,0.599,0.0649,0.0757,-6.493,0.133,100.063,0.455,50
14,Black Panther: Wakanda Forever - Music From and Inspired By,15,0JAxf6vf8Lppihm55k13zv,Pantera,spotify:track:0JAxf6vf8Lppihm55k13zv,0.0986,0.595,0.732,0.0,0.137,-6.561,0.116,179.934,0.0602,46
15,Black Panther: Wakanda Forever - Music From and Inspired By,16,2CFGMjBuqypSwkDaYnrsk8,Jele,spotify:track:2CFGMjBuqypSwkDaYnrsk8,0.177,0.858,0.657,3.28e-05,0.15,-5.53,0.0494,113.012,0.406,48
16,Black Panther: Wakanda Forever - Music From and Inspired By,17,7u2cPWo0974RudXZKDmdmT,Inframundo,spotify:track:7u2cPWo0974RudXZKDmdmT,0.253,0.295,0.336,0.298,0.0856,-7.712,0.0395,157.08,0.252,43
17,Black Panther: Wakanda Forever - Music From and Inspired By,18,1p9R4HF2WGtZDISBxMwF3R,No Digas Mi Nombre,spotify:track:1p9R4HF2WGtZDISBxMwF3R,0.366,0.513,0.692,0.0,0.151,-6.03,0.0398,96.746,0.534,43
18,Black Panther: Wakanda Forever - Music From and Inspired By,19,3c1YCQvr720s61gHPgtkv8,Mi Pueblo,spotify:track:3c1YCQvr720s61gHPgtkv8,0.718,0.57,0.51,0.000467,0.0979,-13.85,0.765,173.323,0.138,36
19,Black Panther: Wakanda Forever - Music From and Inspired By,20,18zQTt3ifDv6iLni2YuXMg,Born Again,spotify:track:18zQTt3ifDv6iLni2YuXMg,0.475,0.465,0.26,0.0,0.138,-8.179,0.031,116.642,0.259,58
